H: S:
/* Non-Breeder=1 	*/
/* Breeder=2		*/
000010000000200020  1 
000010000000200202  1 
000010000000200202  1 
000010000000200202  1 
000010000000202000  1 
000010000000202002  1 
000010000000202020  1 
000010000000202222  1 
000010000000220000  1 
000010000000220002  1 
000010000000220022  1 
000010000000220202  1 
000010000000222002  1 
000010000000222022  1 
000010000000222022  1 
000010000000222200  1 
000010000000222222  1 
000010000000222222  1 
000010000000222222  1 
000010000000222222  1 
000010000002000002  1 
000010000002022000  1 
000010000002022000  1 
000010000002022020  1 
000010000002022202  1 
000010000002022202  1 
000010000002022222  1 
000010000002022222  1 
000010000002200002  1 
000010000002200020  1 
000010000002200022  1 
000010000020000000  1 
000010000020000000  1 
000010000020000000  1 
001000000220000022  1 
000010000020000200  1 
000010000020000200  1 
000010000020000220  1 
000010000020002000  1 
000010000020002002  1 
000010000020002200  1 
000010000020002202  1 
000010000020020000  1 
000010000020022000  1 
000010000020022000  1 
000010000020022002  1 
000010000020022202  1 
000010000020022222  1 
000010000020200000  1 
000010000020202200  1 
000010000020222022  1 
000010000022000000  1 
000010000022020002  1 
000010000022022002  1 
000010000022022022  1 
000010000022022202  1 
000010000200000000  1 
000010000200000000  1 
000010000200000000  1 
000010000200000000  1 
000010000200000000  1 
000010000200000002  1 
000010000200000020  1 
000010000200000202  1 
000010000200000202  1 
000010000200002000  1 
000010000200002000  1 
000010000200002002  1 
000010000200002200  1 
000010000200002222  1 
000010000200020020  1 
000010000200022000  1 
000010000200022000  1 
000010000200022002  1 
000010000200022002  1 
000010000200022020  1 
000010000200022022  1 
000010000200022202  1 
000010000200022220  1 
000010000200022222  1 
000010000200200000  1 
000010000200202000  1 
000010000200202200  1 
000010000200202202  1 
000010000200202202  1 
000010000200222202  1 
000010000202000000  1 
000010000202000000  1 
000010000202000200  1 
000010000202022000  1 
000010000202022002  1 
000010000202022222  1 
000010000202220202  1 
000010000202222002  1 
000010000220000022  1 
000010000220000202  1 
000010000220002000  1 
000010000220002002  1 
001000002002200000  1 
000010000220002200  1 
000010000220002202  1 
000010000220020222  1 
000010000220022022  1 
000010000220022200  1 
000010000220022220  1 
000010000220202222  1 
000010000222002222  1 
000010000222002222  1 
000010000222022000  1 
000010000222220022  1 
000010000222222220  1 
000010002000000000  1 
000010002000000000  1 
000010002000000000  1 
000010002000002222  1 
000010002000022200  1 
000010002000222002  1 
000010002000222200  1 
000010002002000002  1 
000010002020020200  1 
000010002020022000  1 
000010002022022222  1 
000010002202000002  1 
000010002220000202  1 
000010002222202020  1 
001000002202022202  1 
000100000000000002  1 
000100000000000002  1 
000100000000000020  1 
000100000000000020  1 
000100000000000020  1 
000100000000000020  1 
000100000000000020  1 
000100000000000200  1 
000100000000000200  1 
000100000000000200  1 
000100000000000200  1 
000100000000000222  1 
000100000000002000  1 
000100000000002000  1 
000100000000002000  1 
000100000000002000  1 
000100000000002000  1 
000100000000002000  1 
000100000000002000  1 
000100000000002000  1 
000100000000002000  1 
000100000000002002  1 
000100000000002002  1 
000100000000002002  1 
000100000000002002  1 
000100000000002020  1 
000100000000002200  1 
000100000000002202  1 
000100000000002202  1 
000100000000002202  1 
000100000000002202  1 
000100000000020000  1 
000100000000020000  1 
000100000000020002  1 
000100000000020020  1 
000100000000020022  1 
000100000000020220  1 
000100000000020220  1 
000100000000022000  1 
000100000000022002  1 
000100000000022020  1 
001000020202200002  1 
000100000000022200  1 
000100000000022202  1 
000100000000022202  1 
000100000000022220  1 
000100000000200000  1 
000100000000200002  1 
000100000000202000  1 
000100000000202000  1 
000100000000202022  1 
000100000000202022  1 
000100000000202200  1 
000100000000202222  1 
000100000000220000  1 
000100000000222000  1 
000100000000222000  1 
000100000000222202  1 
000100000002000000  1 
000100000002002020  1 
000100000002002200  1 
000100000002002220  1 
000100000002020000  1 
000100000002022220  1 
000100000002202200  1 
000100000002220202  1 
000100000002222000  1 
000100000002222202  1 
000100000002222222  1 
000100000020000000  1 
000100000020000002  1 
000100000020000020  1 
000100000020002000  1 
000100000020002002  1 
000100000020002200  1 
000100000020002202  1 
000100000020022000  1 
000100000020022200  1 
000100000020022220  1 
000100000020022222  1 
000100000020200000  1 
000100000020200202  1 
000100000020202022  1 
000100000020202202  1 
000100000020222202  1 
000100000020222222  1 
000100000022000022  1 
000100000022002220  1 
000100000022202202  1 
000100000022222200  1 
000100000022222222  1 
000100000022222222  1 
000100000200000000  1 
000100000200000000  1 
000100000200000000  1 
000100000200000000  1 
000100000200000000  1 
000100000200000000  1 
000100000200000000  1 
000100000200000002  1 
000100000200000020  1 
000100000200000020  1 
000100000200000020  1 
000100000200000202  1 
000100000200002020  1 
000100000200002200  1 
000100000200002202  1 
000100000200002222  1 
000100000200020020  1 
000100000200020200  1 
000100000200022000  1 
000100000200022002  1 
000100000200022200  1 
000100000200022202  1 
000100000200022202  1 
000100000200022220  1 
000100000200200000  1 
000100000200202000  1 
000100000200202020  1 
000100000200202220  1 
000100000202000000  1 
000100000202000000  1 
000100000202000000  1 
000100000202002000  1 
000100000202002002  1 
000100000202020000  1 
000100000202020020  1 
000100000202022002  1 
000100000202022202  1 
000100000202200000  1 
000100000202200020  1 
000100000202200202  1 
